IPC, IPCX, IPCX1, IPC SAE, variación mensual, información histórica;;;;
;;;;
Periodo;1. IPC;2. IPCX;3. IPCX1;4. IPC SAE histórico
ene.2010;0.50;0.60;-0.30;0.80
feb.2010;0.30;0.10;0.30;0.20
mar.2010;0.10;0.10;0.00;-0.10
abr.2010;0.50;0.20;0.10;0.20
may.2010;0.40;0.20;-0.20;0.10
jun.2010;0.00;0.30;0.20;0.20
jul.2010;0.60;0.60;-0.30;0.60
ago.2010;-0.10;-0.10;0.00;-0.70
sept.2010;0.40;0.40;0.30;0.30
oct.2010;0.10;-0.10;-0.10;-0.20
nov.2010;0.10;-0.10;-0.20;-0.20
dic.2010;0.10;0.30;0.10;0.10
ene.2011;0.30;0.10;0.20;0.10
feb.2011;0.20;0.20;0.20;0.30
mar.2011;0.80;0.40;0.30;0.40
abr.2011;0.30;0.30;0.10;0.00
may.2011;0.40;0.30;0.30;0.10
jun.2011;0.20;0.10;0.10;-0.10
jul.2011;0.10;0.20;0.10;0.10
ago.2011;0.20;0.20;0.10;0.10
sept.2011;0.50;0.30;0.30;0.40
oct.2011;0.50;0.30;0.20;0.10
nov.2011;0.30;0.20;-0.10;0.10
dic.2011;0.60;0.70;0.60;0.60
ene.2012;0.10;0.10;0.30;0.40
feb.2012;0.40;0.50;0.40;0.50
mar.2012;0.20;0.00;0.10;-0.10
abr.2012;0.10;-0.20;0.20;0.20
may.2012;0.00;0.30;-0.10;0.00
jun.2012;-0.30;0.00;0.00;0.10
jul.2012;0.00;0.10;0.10;0.10
ago.2012;0.20;-0.20;-0.30;-0.40
sept.2012;0.80;0.50;0.60;0.50
oct.2012;0.60;0.20;0.10;0.00
nov.2012;-0.50;-0.20;0.00;0.00
dic.2012;0.00;0.30;0.40;0.30
ene.2013;0.20;0.10;0.20;0.00
feb.2013;0.10;0.10;0.20;0.10
mar.2013;0.40;0.20;0.40;0.30
abr.2013;-0.50;-0.30;-0.10;-0.10
may.2013;0.00;0.10;0.10;0.10
jun.2013;0.60;0.30;0.00;0.00
jul.2013;0.30;0.10;0.20;0.20
ago.2013;0.20;0.00;0.00;-0.10
sept.2013;0.50;0.60;0.60;0.70
oct.2013;0.10;0.30;0.20;0.10
nov.2013;0.40;0.20;0.20;0.30
dic.2013;0.60;0.50;0.50;0.60
ene.2014;0.20;0.20;0.20;0.30
feb.2014;0.50;0.40;0.40;0.30
mar.2014;0.80;0.70;0.70;0.80
abr.2014;0.60;0.80;0.80;0.80
may.2014;0.30;0.30;0.20;0.20
jun.2014;0.10;0.10;0.10;0.00
jul.2014;0.20;0.20;0.20;0.00
ago.2014;0.30;0.40;0.40;0.40
sept.2014;0.80;0.60;0.50;0.50
oct.2014;1.00;0.70;0.60;0.50
nov.2014;0.00;0.30;0.10;0.30
dic.2014;-0.40;0.30;0.30;0.30
ene.2015;0.10;0.60;0.60;0.70
feb.2015;0.40;0.60;0.40;0.30
mar.2015;0.60;0.50;0.60;0.70
abr.2015;0.60;0.50;0.60;0.40
may.2015;0.20;0.10;0.10;0.10
jun.2015;0.50;0.50;0.40;0.40
jul.2015;0.40;0.30;0.30;0.10
ago.2015;0.70;0.40;0.40;0.40
sept.2015;0.50;0.40;0.30;0.50
oct.2015;0.40;0.50;0.50;0.40
nov.2015;0.00;0.00;0.10;0.20
dic.2015;0.00;0.20;0.30;0.30
ene.2016;0.50;0.70;0.40;0.90
feb.2016;0.30;0.60;0.50;0.40
mar.2016;0.40;0.40;0.40;0.50
abr.2016;0.30;0.40;0.40;0.30
may.2016;0.20;-0.10;-0.10;-0.10
jun.2016;0.40;0.20;0.30;0.30
jul.2016;0.20;0.40;0.30;0.10
ago.2016;0.00;0.10;0.20;0.10
sept.2016;0.20;-0.10;-0.10;0.00
oct.2016;0.20;0.10;0.10;0.20
nov.2016;0.10;0.20;0.20;0.00
dic.2016;-0.20;0.00;0.00;0.10
ene.2017;0.50;0.50;0.50;0.50
feb.2017;0.20;0.20;0.30;0.20
mar.2017;0.40;0.30;0.30;0.40
abr.2017;0.20;0.30;0.40;0.20
may.2017;0.10;0.20;0.20;0.30
jun.2017;-0.40;-0.20;-0.30;-0.40
jul.2017;0.20;0.40;0.30;0.30
ago.2017;0.20;0.00;0.00;-0.10
sept.2017;-0.20;-0.20;-0.10;0.00
oct.2017;0.60;0.50;0.50;0.30
nov.2017;0.10;-0.10;-0.10;-0.10
dic.2017;0.10;0.10;0.00;0.20
ene.2018;0.50;0.30;0.30;0.30
feb.2018;0.00;0.10;0.10;0.20
mar.2018;0.20;0.30;0.30;0.30
abr.2018;0.30;0.40;0.30;0.30
may.2018;0.30;0.20;0.20;0.30
jun.2018;0.10;0.00;0.00;-0.10
jul.2018;0.40;0.30;0.30;0.30
ago.2018;0.20;0.00;0.00;0.00
sept.2018;0.30;0.10;0.10;0.20
oct.2018;0.40;0.10;0.30;0.30
nov.2018;0.00;0.00;0.00;0.00
dic.2018;-0.10;0.20;0.20;0.30
ene.2019;0.10;;;0.40
feb.2019;0.00;;;0.30
mar.2019;0.50;;;0.40
abr.2019;0.30;;;0.10
may.2019;0.60;;;0.40
jun.2019;0.00;;;0.00
jul.2019;0.20;;;0.30
ago.2019;0.20;;;0.10
sept.2019;0.00;;;0.10
oct.2019;0.80;;;0.60
nov.2019;0.10;;;-0.20
dic.2019;0.10;;;0.10
ene.2020;0.60;;;0.40
feb.2020;0.40;;;0.40
mar.2020;0.30;;;0.30
abr.2020;0.00;;;-0.10
may.2020;-0.10;;;0.10
jun.2020;-0.10;;;-0.10
jul.2020;0.10;;;0.10
ago.2020;0.10;;;0.20
sept.2020;0.60;;;0.30
oct.2020;0.70;;;0.70
nov.2020;-0.10;;;-0.20
dic.2020;0.30;;;0.40
ene.2021;0.70;;;0.50
feb.2021;0.20;;;0.20
mar.2021;0.40;;;0.50
abr.2021;0.40;;;0.10
may.2021;0.30;;;0.30
jun.2021;0.10;;;-0.10
jul.2021;0.80;;;0.60
ago.2021;0.40;;;0.40
sept.2021;1.20;;;0.90
oct.2021;1.30;;;1.40
nov.2021;0.50;;;0.50
dic.2021;0.80;;;0.90
ene.2022;1.20;;;1.10
feb.2022;0.30;;;-0.30
mar.2022;1.90;;;1.20
abr.2022;1.40;;;1.00
may.2022;1.20;;;1.00
jun.2022;0.90;;;0.80
jul.2022;1.40;;;0.90
ago.2022;1.20;;;0.90
sept.2022;0.90;;;0.40
oct.2022;0.50;;;0.40
nov.2022;1.00;;;0.70
dic.2022;0.30;;;0.20
ene.2023;0.80;;;1.10
feb.2023;-0.10;;;0.20
mar.2023;1.10;;;1.40
abr.2023;0.30;;;0.40
may.2023;0.10;;;0.20
jun.2023;-0.20;;;-0.10
jul.2023;0.40;;;0.30
ago.2023;0.10;;;-0.10
sept.2023;0.70;;;0.40
oct.2023;0.40;;;0.00
nov.2023;0.70;;;0.70
dic.2023;-0.50;;;-0.40
ene.2024;0.70;;;
feb.2024;0.60;;;
mar.2024;0.40;;;
abr.2024;0.50;;;
may.2024;0.30;;;
jun.2024;-0.10;;;
jul.2024;0.70;;;
ago.2024;0.30;;;
sept.2024;0.10;;;
oct.2024;1.00;;;
nov.2024;0.20;;;
dic.2024;-0.20;;;
ene.2025;1.10;;;
feb.2025;0.40;;;
mar.2025;0.50;;;
abr.2025;0.20;;;
may.2025;0.20;;;
jun.2025;-0.40;;;
jul.2025;0.90;;;
ago.2025;0.00;;;
sept.2025;0.40;;;
oct.2025;0.00;;;
nov.2025;0.30;;;
dic.2025;-0.20;;;
ene.2026;0.40;;;
feb.2026;0.00;;;
mar.2026;1.00;;;
abr.2026;1.30;;;
may.2026;0.20;;;
